"canonicalName","EdgeBetweenness","frequency","interaction","inverse distance","name","selected","shared interaction","shared name"
"tyra-3_ok325 (pp) unc-98_st85","51.7481873","0.43","pp","0.166218864","tyra-3_ok325 (pp) unc-98_st85","false","pp","tyra-3_ok325 (pp) unc-98_st85"
"tyra-3_ok325 (pp) unc-89_e1460","51.7481873","0.44","pp","0.135680147","tyra-3_ok325 (pp) unc-89_e1460","false","pp","tyra-3_ok325 (pp) unc-89_e1460"
"tyra-3_ok325 (pp) unc-29_e193","368.20697025","0.45","pp","0.123004812","tyra-3_ok325 (pp) unc-29_e193","false","pp","tyra-3_ok325 (pp) unc-29_e193"
"tyra-3_ok325 (pp) unc-105_ok1432","289.30113323","0.5","pp","0.149227914","tyra-3_ok325 (pp) unc-105_ok1432","false","pp","tyra-3_ok325 (pp) unc-105_ok1432"
"trpa-1_ok999 (pp) unc-98_st85","91.97564708","0.5","pp","0.145803477","trpa-1_ok999 (pp) unc-98_st85","false","pp","trpa-1_ok999 (pp) unc-98_st85"
"trpa-1_ok999 (pp) unc-89_e1460","91.97564708","0.51","pp","0.139465059","trpa-1_ok999 (pp) unc-89_e1460","false","pp","trpa-1_ok999 (pp) unc-89_e1460"
"trpa-1_ok999 (pp) unc-29_e193","254.07716562","0.43","pp","0.102187595","trpa-1_ok999 (pp) unc-29_e193","false","pp","trpa-1_ok999 (pp) unc-29_e193"
"trpa-1_ok999 (pp) tyra-3_ok325","5.39801741","0.53","pp","0.129894953","trpa-1_ok999 (pp) tyra-3_ok325","false","pp","trpa-1_ok999 (pp) tyra-3_ok325"
"trpa-1_ok999 (pp) trpa-2_ok3189","208.2003786","0.44","pp","0.133962869","trpa-1_ok999 (pp) trpa-2_ok3189","false","pp","trpa-1_ok999 (pp) trpa-2_ok3189"
"snf-1_ok790 (pp) unc-105_ok1432","9.10519481","0.48","pp","0.159873943","snf-1_ok790 (pp) unc-105_ok1432","false","pp","snf-1_ok790 (pp) unc-105_ok1432"
"snf-1_ok790 (pp) tyra-3_ok325","137.46667002","0.46","pp","0.148282917","snf-1_ok790 (pp) tyra-3_ok325","false","pp","snf-1_ok790 (pp) tyra-3_ok325"
"snf-1_ok790 (pp) trpa-1_ok999","145.58176483","0.41","pp","0.125135865","snf-1_ok790 (pp) trpa-1_ok999","false","pp","snf-1_ok790 (pp) trpa-1_ok999"
"snf-1_ok790 (pp) sup-9_n180","97.2027369","0.49","pp","0.137787588","snf-1_ok790 (pp) sup-9_n180","false","pp","snf-1_ok790 (pp) sup-9_n180"
"snf-1_ok790 (pp) snf-9_ok957","180.21506202","0.47","pp","0.145708396","snf-1_ok790 (pp) snf-9_ok957","false","pp","snf-1_ok790 (pp) snf-9_ok957"
"snf-4_ok496 (pp) unc-105_ok1432","88.1203192","0.5","pp","0.157879031","snf-4_ok496 (pp) unc-105_ok1432","false","pp","snf-4_ok496 (pp) unc-105_ok1432"
"snf-4_ok496 (pp) tag-336_ok1477","57.40745205","0.54","pp","0.144997517","snf-4_ok496 (pp) tag-336_ok1477","false","pp","snf-4_ok496 (pp) tag-336_ok1477"
"snf-4_ok496 (pp) sup-9_n180","285.20101495","0.48","pp","0.132463388","snf-4_ok496 (pp) sup-9_n180","false","pp","snf-4_ok496 (pp) sup-9_n180"
"snf-4_ok496 (pp) snf-9_ok957","106.78687587","0.45","pp","0.135990034","snf-4_ok496 (pp) snf-9_ok957","false","pp","snf-4_ok496 (pp) snf-9_ok957"
"snf-4_ok496 (pp) snf-8_ok349","548.19556975","0.43","pp","0.15372382","snf-4_ok496 (pp) snf-8_ok349","false","pp","snf-4_ok496 (pp) snf-8_ok349"
"snf-4_ok496 (pp) snf-7_ok482","153.69546908","0.54","pp","0.138418143","snf-4_ok496 (pp) snf-7_ok482","false","pp","snf-4_ok496 (pp) snf-7_ok482"
"unc-16_e109 (pp) unc-2_gk366","160.22638015","0.56","pp","0.136431302","unc-16_e109 (pp) unc-2_gk366","false","pp","unc-16_e109 (pp) unc-2_gk366"
"unc-16_e109 (pp) unc-26_m2","562.17402106","0.49","pp","0.061727714","unc-16_e109 (pp) unc-26_m2","false","pp","unc-16_e109 (pp) unc-26_m2"
"unc-16_e109 (pp) unc-1_e94","52.09540925","0.44","pp","0.113980917","unc-16_e109 (pp) unc-1_e94","false","pp","unc-16_e109 (pp) unc-1_e94"
"sup-9_n180 (pp) unc-105_ok1432","167.67980578","0.55","pp","0.130887855","sup-9_n180 (pp) unc-105_ok1432","false","pp","sup-9_n180 (pp) unc-105_ok1432"
"sup-9_n180 (pp) tyra-3_ok325","19.08709264","0.61","pp","0.130458996","sup-9_n180 (pp) tyra-3_ok325","false","pp","sup-9_n180 (pp) tyra-3_ok325"
"sup-9_n180 (pp) trpa-2_ok3189","114.62696221","0.41","pp","0.127898235","sup-9_n180 (pp) trpa-2_ok3189","false","pp","sup-9_n180 (pp) trpa-2_ok3189"
"sup-9_n180 (pp) trpa-1_ok999","18.07345656","0.51","pp","0.118547784","sup-9_n180 (pp) trpa-1_ok999","false","pp","sup-9_n180 (pp) trpa-1_ok999"
"sup-9_n180 (pp) tdc-1_n3419","696.27602311","0.58","pp","0.147834788","sup-9_n180 (pp) tdc-1_n3419","false","pp","sup-9_n180 (pp) tdc-1_n3419"
"sup-9_n180 (pp) tag-336_ok1477","456.98476986","0.44","pp","0.115019334","sup-9_n180 (pp) tag-336_ok1477","false","pp","sup-9_n180 (pp) tag-336_ok1477"
"sup-9_n180 (pp) syg-1_ok3640","63.31204138","0.48","pp","0.128002859","sup-9_n180 (pp) syg-1_ok3640","false","pp","sup-9_n180 (pp) syg-1_ok3640"
"snf-9_ok957 (pp) unc-105_ok1432","161.53808196","0.43","pp","0.148049243","snf-9_ok957 (pp) unc-105_ok1432","false","pp","snf-9_ok957 (pp) unc-105_ok1432"
"snf-9_ok957 (pp) tyra-3_ok325","71.58664289","0.44","pp","0.157408268","snf-9_ok957 (pp) tyra-3_ok325","false","pp","snf-9_ok957 (pp) tyra-3_ok325"
"snf-9_ok957 (pp) trpa-2_ok3189","41.22929174","0.45","pp","0.152999783","snf-9_ok957 (pp) trpa-2_ok3189","false","pp","snf-9_ok957 (pp) trpa-2_ok3189"
"snf-9_ok957 (pp) trpa-1_ok999","55.54874339","0.46","pp","0.122265688","snf-9_ok957 (pp) trpa-1_ok999","false","pp","snf-9_ok957 (pp) trpa-1_ok999"
"snf-9_ok957 (pp) tdc-1_n3419","552.83947025","0.48","pp","0.148138504","snf-9_ok957 (pp) tdc-1_n3419","false","pp","snf-9_ok957 (pp) tdc-1_n3419"
"snf-9_ok957 (pp) sup-9_n180","24.93933184","0.58","pp","0.12804374","snf-9_ok957 (pp) sup-9_n180","false","pp","snf-9_ok957 (pp) sup-9_n180"
"unc-101_m1 (pp) unc-2_gk366","18.63353344","0.58","pp","0.181349136","unc-101_m1 (pp) unc-2_gk366","false","pp","unc-101_m1 (pp) unc-2_gk366"
"unc-101_m1 (pp) unc-26_m2","80.13448082","0.59","pp","0.091271407","unc-101_m1 (pp) unc-26_m2","false","pp","unc-101_m1 (pp) unc-26_m2"
"unc-101_m1 (pp) unc-1_e1598","243.45653619","0.44","pp","0.104814833","unc-101_m1 (pp) unc-1_e1598","false","pp","unc-101_m1 (pp) unc-1_e1598"
"unc-101_m1 (pp) unc-16_e109","213.90157523","0.48","pp","0.109801015","unc-101_m1 (pp) unc-16_e109","false","pp","unc-101_m1 (pp) unc-16_e109"
"unc-101_m1 (pp) unc-14_e57","620.74785092","0.45","pp","0.108189064","unc-101_m1 (pp) unc-14_e57","false","pp","unc-101_m1 (pp) unc-14_e57"
"unc-101_m1 (pp) unc-115_mn481","57.7879616","0.59","pp","0.137340634","unc-101_m1 (pp) unc-115_mn481","false","pp","unc-101_m1 (pp) unc-115_mn481"
"unc-101_m1 (pp) unc-104_e1265","380.99607664","0.46","pp","0.149064001","unc-101_m1 (pp) unc-104_e1265","false","pp","unc-101_m1 (pp) unc-104_e1265"
"ser-4_ok512 (pp) trpa-2_ok3189","48.48911056","0.56","pp","0.139709956","ser-4_ok512 (pp) trpa-2_ok3189","false","pp","ser-4_ok512 (pp) trpa-2_ok3189"
"ser-4_ok512 (pp) syg-2_ky671","127.74651204","0.45","pp","0.135560565","ser-4_ok512 (pp) syg-2_ky671","false","pp","ser-4_ok512 (pp) syg-2_ky671"
"ser-4_ok512 (pp) sup-9_n180","165.46999739","0.44","pp","0.112682545","ser-4_ok512 (pp) sup-9_n180","false","pp","ser-4_ok512 (pp) sup-9_n180"
"ser-4_ok512 (pp) snf-9_ok957","42.08005334","0.48","pp","0.134778974","ser-4_ok512 (pp) snf-9_ok957","false","pp","ser-4_ok512 (pp) snf-9_ok957"
"ser-4_ok512 (pp) snf-10_hc194","63.74914803","0.43","pp","0.138367012","ser-4_ok512 (pp) snf-10_hc194","false","pp","ser-4_ok512 (pp) snf-10_hc194"
"ser-4_ok512 (pp) ser-5_tm2654","306.76846473","0.51","pp","0.131511813","ser-4_ok512 (pp) ser-5_tm2654","false","pp","ser-4_ok512 (pp) ser-5_tm2654"
"pqn-66_ok1507 (pp) trp-2_gk298","32.29992745","0.44","pp","0.176047896","pqn-66_ok1507 (pp) trp-2_gk298","false","pp","pqn-66_ok1507 (pp) trp-2_gk298"
"pqn-66_ok1507 (pp) snf-6_eg28","31.29443294","0.54","pp","0.163160463","pqn-66_ok1507 (pp) snf-6_eg28","false","pp","pqn-66_ok1507 (pp) snf-6_eg28"
"pqn-66_ok1507 (pp) snf-11_ok156","26.50418834","0.42","pp","0.151916943","pqn-66_ok1507 (pp) snf-11_ok156","false","pp","pqn-66_ok1507 (pp) snf-11_ok156"
"pqn-66_ok1507 (pp) snf-10_hc194","66.35543436","0.47","pp","0.168460638","pqn-66_ok1507 (pp) snf-10_hc194","false","pp","pqn-66_ok1507 (pp) snf-10_hc194"
"pqn-66_ok1507 (pp) ser-7_tm1325","307.02195857","0.41","pp","0.156886638","pqn-66_ok1507 (pp) ser-7_tm1325","false","pp","pqn-66_ok1507 (pp) ser-7_tm1325"
"pqn-66_ok1507 (pp) ser-6_tm2146","49.35085071","0.51","pp","0.144427999","pqn-66_ok1507 (pp) ser-6_tm2146","false","pp","pqn-66_ok1507 (pp) ser-6_tm2146"
"pqn-66_ok1507 (pp) ser-5_tm2654","75.0689457","0.54","pp","0.165795367","pqn-66_ok1507 (pp) ser-5_tm2654","false","pp","pqn-66_ok1507 (pp) ser-5_tm2654"
